feature,mean_importance
prectot_lille,-0.005765431746987027
prectot_lyon,-0.0035049458737639537
prectot_strasbourg,-0.0029454609229736307
t2m_min_toulouse,-0.0028825174464217397
t2m_min_montpellier,-0.00180042623579042
t2m_max_lyon,-0.0017515629146281908
t2m_max_nice,-0.0011400430951961748
prectot_montpellier,-0.0010445863708115066
t2m_min_lyon,-0.0008644223942400941
t2m_max_montpellier,-0.0007464345607319344
week_number,-0.0005984620171245681
weighted_prectot,-0.00036534967655341697
t2m_max_bordeaux,-0.0002790507690192401
prectot_paris,-0.00019733672249540036
t2m_min_paris,-0.0001812499519656452
t2m_max_marseille,-0.00015565927473941698
prectot_marseille,-0.00015198623275938238
t2m_montpellier,-8.817115792156827e-05
t2m_min_nantes,4.233215019722181e-06
t2m_nantes,8.018548907884337e-06
t2m_bordeaux,5.658527210175013e-05
t2m_max_paris,0.00026006648072673944
t2m_min_marseille,0.0002819392935970777
prectot_nice,0.00048723351419919234
t2m_marseille,0.0004929926750815827
weighted_t2m_max,0.0005388205581715599
t2m_max_rennes,0.0005424759976222715
prectot_rennes,0.0007194859017045863
t2m_min_nice,0.0008014518981920959
t2m_nice,0.0010489115850428553
prectot_bordeaux,0.0010516933327910038
t2m_max_nantes,0.0010711654175252772
t2m_max_toulouse,0.0011396903197199658
t2m_lyon,0.0012711697603136284
month,0.0013091411678683774
t2m_toulouse,0.0014162534508546543
weighted_t2m,0.0015258311087212651
t2m_strasbourg,0.0016674943281551392
t2m_paris,0.0017124286998191351
t2m_min_bordeaux,0.001922043728590106
t2m_min_rennes,0.0019956264966656924
t2m_min_lille,0.0020763177463205772
t2m_max_strasbourg,0.0024682032553480894
weighted_t2m_min,0.0027495534566297055
t2m_min_strasbourg,0.0030076092159048383
t2m_max_lille,0.003292926034931165
t2m_lille,0.0037177159830979354
t2m_rennes,0.0039795733537364205
prectot_nantes,0.0067172558632120575
prectot_toulouse,0.007456962473356921
weekday,0.01915238105979069
